degree,setup,evaluation,verification
100,0.8157074451446533,5.167473793029785,4.725679159164429
110,1.1119534969329834,5.379655361175537,4.7853004932403564
120,1.1435461044311523,6.110305070877075,4.45159649848938
130,1.2384803295135498,6.1070051193237305,4.603478193283081
140,1.3861596584320068,6.932327508926392,4.407030820846558
150,1.422602653503418,7.364357233047485,4.723925352096558
160,1.5380232334136963,7.903160095214844,4.7006001472473145
170,1.3415379524230957,8.441519975662231,4.621835470199585
180,1.7112855911254883,8.366665124893188,4.462626695632935
190,1.5241496562957764,9.468915224075317,4.626593351364136
200,1.9496159553527832,9.900881290435791,4.709676265716553
